Afghanistan|Kabul|1
Albania|Tirana|1
Algeria|Algiers|1
Andorra|Andorra la Vella|1
Angola|Luanda|1
Antigua and Barbuda|St. John's|1
Argentina|Buenos Aires|1
Armenia|Yerevan|1
Australia|Canberra|1
Austria|Vienna|1
Azerbaijan|Baku|1
Bahamas|Nassau|1
Bahrain|Manama|1
Bangladesh|Dhaka|1
Barbados|Bridgetown|1
Belarus|Minsk|1
Belgium|Brussels|1
Belize|Belmopan|1
Benin|Porto-Novo|1
Bhutan|Thimphu|1
Bolivia|La Paz|1
Bosnia and Herzegovina|Sarajevo|1
Botswana|Gaborone|1
Brazil|Brasilia|1
Brunei|Bandar Seri Begawan|1
Bulgaria|Sofia|1
Burkina Faso|Ouagadougou|1
Burundi|Gitega|1
Cabo Verde|Praia|1
Cambodia|Phnom Penh|1
Cameroon|Yaounde|1
Canada|Ottawa|1
Central African Republic|Bangui|1
Chad|N'Djamena|1
Chile|Santiago|1
China|Beijing|1
Colombia|Bogota|1
Comoros|Moroni|1
Congo|Brazzaville|1
Costa Rica|San Jose|1
Côte d'Ivoire|Yamoussoukro|1
Croatia|Zagreb|1
Cuba|Havana|1
Cyprus|Nicosia|1
Czech Republic (Czechia)|Prague|1
Denmark|Copenhagen|1
Djibouti|Djibouti|1
Dominica|Roseau|1
Dominican Republic|Santo Domingo|1
DR Congo|Kinshasa|1
Ecuador|Quito|1
Egypt|Cairo|1
El Salvador|San Salvador|1
Equatorial Guinea|Malabo|1
Eritrea|Asmara|1
Estonia|Tallinn|1
Eswatini|Mbabane|1
Ethiopia|Addis Ababa|1
Fiji|Suva|1
Finland|Helsinki|1
France|Paris|1
Gabon|Libreville|1
Gambia|Banjul|1
Georgia|Tbilisi|1
Germany|Berlin|1
Ghana|Accra|1
Greece|Athens|1
Grenada|St. George's|1
Guatemala|Guatemala City|1
Guinea|Conakry|1
Guinea-Bissau|Bissau|1
Guyana|Georgetown|1
Haiti|Port-au-Prince|1
Holy See|Vatican City|1
Honduras|Tegucigalpa|1
Hungary|Budapest|1
Iceland|Reykjavik|1
India|New Delhi|1
Indonesia|Jakarta|1
Iran|Tehran|1
Iraq|Baghdad|1
Ireland|Dublin|1
Israel|Jerusalem|1
Italy|Rome|1
Jamaica|Kingston|1
Japan|Tokyo|1
Jordan|Amman|1
Kazakhstan|Nur-Sultan|1
Kenya|Nairobi|1
Kiribati|South Tarawa|1
Kuwait|Kuwait City|1
Kyrgyzstan|Bishkek|1
Laos|Vientiane|1
Latvia|Riga|1
Lebanon|Beirut|1
Lesotho|Maseru|1
Liberia|Monrovia|1
Libya|Tripoli|1
Liechtenstein|Vaduz|1
Lithuania|Vilnius|1
Luxembourg|Luxembourg City|1
Madagascar|Antananarivo|1
Malawi|Lilongwe|1
Malaysia|Kuala Lumpur|1
Maldives|Male|1
Mali|Bamako|1
Malta|Valletta|1
Marshall Islands|Majuro|1
Mauritania|Nouakchott|1
Mauritius|Port Louis|1
Mexico|Mexico City|1
Micronesia|Palikir|1
Moldova|Chisinau|1
Monaco|Monaco|1
Mongolia|Ulaanbaatar|1
Montenegro|Podgorica|1
Morocco|Rabat|1
Mozambique|Maputo|1
Myanmar|Naypyidaw|1
Namibia|Windhoek|1
Nauru|Yaren District|1
Nepal|Kathmandu|1
Netherlands|Amsterdam|1
New Zealand|Wellington|1
Nicaragua|Managua|1
Niger|Niamey|1
Nigeria|Abuja|1
North Korea|Pyongyang|1
North Macedonia|Skopje|1
Norway|Oslo|1
Oman|Muscat|1
Pakistan|Islamabad|1
Palau|Ngerulmud|1
Panama|Panama City|1
Papua New Guinea|Port Moresby|1
Paraguay|Asuncion|1
Peru|Lima|1
Philippines|Manila|1
Poland|Warsaw|1
Portugal|Lisbon|1
Qatar|Doha|1
Romania|Bucharest|1
Russia|Moscow|1
Rwanda|Kigali|1
Saint Kitts & Nevis|Basseterre|1
Saint Lucia|Castries|1
Samoa|Apia|1
San Marino|San Marino|1
Sao Tome & Principe|Sao Tome|1
Saudi Arabia|Riyadh|1
Senegal|Dakar|1
Serbia|Belgrade|1
Seychelles|Victoria|1
Sierra Leone|Freetown|1
Singapore|Singapore|1
Slovakia|Bratislava|1
Slovenia|Ljubljana|1
Solomon Islands|Honiara|1
Somalia|Mogadishu|1
South Africa|Cape Town|1
South Korea|Seoul|1
South Sudan|Juba|1
Spain|Madrid|1
Sri Lanka|Sri Jayawardenepura Kotte|1
St. Vincent & Grenadines|Kingstown|1
State of Palestine|Ramallah|1
Sudan|Khartoum|1
Suriname|Paramaribo|1
Sweden|Stockholm|1
Switzerland|Bern|1
Syria|Damascus|1
Tajikistan|Dushanbe|1
Tanzania|Dodoma|1
Thailand|Bangkok|1
Timor-Leste|Dili|1
Togo|Lome|1
Tonga|Nuku'alofa|1
Trinidad and Tobago|Port of Spain|1
Tunisia|Tunis|1
Turkey|Ankara|1
Turkmenistan|Ashgabat|1
Tuvalu|Funafuti|1
Uganda|Kampala|1
Ukraine|Kyiv|1
United Arab Emirates|Abu Dhabi|1
United Kingdom|London|1
United States|Washington DC|1
Uruguay|Montevideo|1
Uzbekistan|Tashkent|1
Vanuatu|Port Vila|1
Venezuela|Caracas|1
Vietnam|Hanoi|1
Yemen|Sana'a|1
Zambia|Lusaka|1
Zimbabwe|Harare|1
